,Categoria analítica,Referência,Complexidade,Quadrante,Pergunta,Resposta esperada (gabarito),Notas / como avaliar,Gemini G,Gemini GT,Gemini T,Claude G,Claude GT,Claude T,ChatGpt G,ChatGpt GT,ChatGpt T
FE5,Find Extremum,Não-Visual,Composicional,C+NV,Qual é a população do estado que possui a maior renda média?,2.982.818 (Distrito Federal).,Encadeada: achar extremo (renda) -> recuperar população.,3 mi,2.982.818,2.982.818,"População do estado com maior renda média (DF): ~3 milhões (bolha pequena, próxima da referência de 2 mi)","População do estado com maior renda média: 2.982.818 (Distrito Federal, renda R$3.281)","2.982.818 (Distrito Federal, maior renda média)",,,
RV4,Retrieve Value,Não-Visual,Composicional,C+NV,Quantos anos de estudo tem o estado mais populoso do Brasil?,"11,0 anos (São Paulo).",Encadeada: achar mais populoso -> recuperar estudo.,11,11,11,"Anos de estudo do estado mais populoso (SP): 11,0 anos",Anos de estudo do estado mais populoso (São Paulo): 11,"11,0 anos (São Paulo, estado mais populoso)",,,
CDF1,Compute Derived + Filter,Não-Visual,Composicional,C+NV,Qual é a renda média dos estados da região Nordeste?,"≈ R$1.337,9.",Filtrar Nordeste (9) -> média da renda.,1300,"1.337,89","R$ 1.337,89",Renda média dos estados do Nordeste: ~R$1.090 a R$1.560 (média ≈ R$1.340),"Renda média dos estados do Nordeste (média): R$1.337,89","As rendas médias do Nordeste: Maranhão R$1.079, Piauí R$1.351, Ceará R$1.202, Rio Grande do Norte R$1.552, Paraíba R$1.377, Pernambuco R$1.407, Alagoas R$1.318, Sergipe R$1.426, Bahia R$1.329. (Média da região: R$1.338)",,,
CDF2,Compute Derived + Filter,Não-Visual,Composicional,C+NV,Quantos estados têm renda média acima de R$2.000?,10 estados.,Filtrar renda>2000 -> contar.,10,10,10,"Estados com renda média acima de R$2.000: 10 (DF, SP, RJ, SC, RS, PR, MT, MS, GO, ES)",Estados com renda média acima de R$2.000: 10,10,,,
CDF3,Compute Derived + Filter,Não-Visual,Composicional,C+NV,Qual a média de anos de estudo dos estados da região Sul?,"≈ 10,43 anos.","Filtrar Sul (PR, SC, RS) -> média.","10,43","10,43","10,43","Média de anos de estudo da região Sul: ~10,4 anos","Média de anos de estudo da região Sul: 10,43","10,43 anos",,,
FFE1,Filter + Find Extremum,Não-Visual,Composicional,C+NV,"Entre os estados do Nordeste, qual tem a maior renda média?",Rio Grande do Norte (R$1.552).,Filtrar Nordeste -> máximo da renda.,Rio Grande do Norte,Rio Grande do Norte,Rio Grande do Norte,Estado do Nordeste com maior renda média: RN,Estado do Nordeste com maior renda média: Rio Grande do Norte (R$1.552),Rio Grande do Norte,,,
FFE2,Filter + Find Extremum,Não-Visual,Composicional,C+NV,"Entre os estados do Norte, qual tem o maior nº de anos de estudo?","Roraima (10,9).",Filtrar Norte -> máximo do estudo.,Roraima,Roraima,Roraima,Estado do Norte com mais anos de estudo: RR,"Estado do Norte com mais anos de estudo: Roraima (10,9)",Roraima,,,
CD1,Compute Derived Value,Não-Visual,Composicional,C+NV,Qual é a diferença de renda média entre o Distrito Federal e o Maranhão?,R$2.202 (3.281 − 1.079).,Recuperar 2 valores -> subtrair.,2200,"2,202","R$ 2.202,00",Diferença de renda DF − MA: ~R$2.200 (≈3.280 − 1.090),Diferença de renda média DF − Maranhão: R$2.202,R$2.202 (3.281 − 1.079),,,
CDE1,Compute Derived + Find Extremum,Não-Visual,Composicional,C+NV,Qual região tem a maior renda média entre seus estados?,"Sul (≈ R$2.495,3).",Média por região -> achar a maior.,Sul,Sul,Sul,"Região com maior renda média entre seus estados: Sul (média ≈ R$2.500; obs.: o estado individual com maior renda é o DF, do Centro-Oeste)",Região com maior renda média entre seus estados: Sul (média ≈ R$2.495),Sul (média de R$2.495),,,
CO1,Correlate,Não-Visual,Composicional,C+NV,Existe relação entre a renda média e os anos de estudo? De que tipo?,"Sim, correlação positiva: maior renda tende a maior escolaridade (com exceções).",Avaliar direção da relação X×Y.,"Sim, correlação positiva (quanto maior os anos de estudo, maior a renda média).","Sim, positiva","Sim, relação positiva forte (quanto maior a escolaridade, maior tende a ser a renda).","Relação entre renda e anos de estudo: Sim — relação positiva (quanto maior a renda, mais anos de estudo)","Relação renda × anos de estudo: Sim — relação positiva (direta): em geral, quanto maior a renda média, maior o número de anos de estudo","Sim, há relação positiva e forte: quanto mais anos de estudo, maior a renda média (correlação ≈ 0,82). É uma associação clara, embora não perfeita.",,,
